,Identifies the type of dwelling involved in the sale.,Identifies the general zoning classification of the sale.,Linear feet of street connected to the property,plot size in square feet,Type of road access to property,General shape of property,Flatness of the property,Utilities,LotConfig,Slope of property,Neighborhood,Proximity to various conditions,Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on the house & Exterior covering on house (if more than one material),Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior & Evaluates the present condition of the material on the exterior ,Type of foundation,Evaluates the height of the basement,Evaluate the general condition of the basement & Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,HeatingQC,Central air conditioning,Electrical,First Floor square feet,Second-floor square feet,Low-quality finished square feet (all floors),Above grade (ground) living area square feet,Full bathrooms above grade,Half baths above grade,BedroomAbvGr,KitchenAbvGr,KitchenQual, Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,GarageQual,GarageCond,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence,Miscellaneous feature not covered in other categories, $Value of miscellaneous feature,Month Sold (MM) & Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
0,2-STORY 1946 & NEWER,Residential Low-Density,65,8450sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,Two-story,7,5,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,196squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,706,Unfinished,0,150,856,Gas forced warm air furnace,Excellent,Yes,SBrkr,856,854,0square feet,1710,2,1,3,1,Good,8,Typical Functionality,0,No,Attached to the home,2003.0,RFn,2,548square feet,Typical/Average,TA,Paved,0square feet,61square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Feb&2008,Warranty Deed - Conventional,Normal Sale,208500
1,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,9600sqare feet,Paved,Regular,Near Flat/Level,AllPub,Frontage on 2 sides of the property,Gentle slope,Veenker,Adjacent to feeder street&Normal,Single-family Detached,One story,6,8,1976,1976,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed&Good Exposure,ALQ,978,Unfinished,0,284,1262,Gas forced warm air furnace,Excellent,Yes,SBrkr,1262,0,0square feet,1262,2,0,3,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1976.0,RFn,2,460square feet,Typical/Average,TA,Paved,298square feet,0square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,May&2007,Warranty Deed - Conventional,Normal Sale,181500
2,2-STORY 1946 & NEWER,Residential Low-Density,68,11250sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,CollgCr,Normal,Single-family Detached,Two-story,7,5,2001,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,162squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Mimimum Exposure,GLQ,486,Unfinished,0,434,920,Gas forced warm air furnace,Excellent,Yes,SBrkr,920,866,0square feet,1786,2,1,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2001.0,RFn,2,608square feet,Typical/Average,TA,Paved,0square feet,42square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Sep&2008,Warranty Deed - Conventional,Normal Sale,223500
3,2-STORY 1945 & OLDER,Residential Low-Density,60,9550sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,Crawfor,Normal,Single-family Detached,Two-story,7,5,1915,1970,Gable,Standard (Composite) Shingle,Wood Siding&Wd Shng,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Good& No Exposure,ALQ,216,Unfinished,0,540,756,Gas forced warm air furnace,Good,Yes,SBrkr,961,756,0square feet,1717,1,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1998.0,Unf,3,642square feet,Typical/Average,TA,Paved,0square feet,35square feet,272square feet,0square feet,0square feet,0square feet,No,No,No,0,Feb&2006,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",140000
4,2-STORY 1946 & NEWER,Residential Low-Density,84,14260sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Frontage on 2 sides of the property,Gentle slope,NoRidge,Normal,Single-family Detached,Two-story,8,5,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,Brick Face,350squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,655,Unfinished,0,490,1145,Gas forced warm air furnace,Excellent,Yes,SBrkr,1145,1053,0square feet,2198,2,1,4,1,Good,9,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2000.0,RFn,3,836square feet,Typical/Average,TA,Paved,192square feet,84square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Dec&2008,Warranty Deed - Conventional,Normal Sale,250000
5,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,85,14115sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Inside,Gentle slope,Mitchel,Normal,Single-family Detached,One and one-half story: 2nd level finished,5,5,1993,1995,Gable,Standard (Composite) Shingle,Vinyl Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Wood,Good (90-99 inches),Typical - slight dampness allowed& No Exposure,GLQ,732,Unfinished,0,64,796,Gas forced warm air furnace,Excellent,Yes,SBrkr,796,566,0square feet,1362,1,1,1,1,Typical/Average,5,Typical Functionality,0,No,Attached to the home,1993.0,Unf,2,480square feet,Typical/Average,TA,Paved,40square feet,30square feet,0square feet,320square feet,0square feet,0square feet,No,Minimum Privacy,Shed (over 100 SF),700,Oct&2009,Warranty Deed - Conventional,Normal Sale,143000
6,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,75,10084sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,Somerst,Normal,Single-family Detached,One story,8,5,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Stone ,186squarefeetsqare feet,Good&['ExterCond'],Poured Contrete,Excellent (100+ inches),Typical - slight dampness allowed&Average Exposure (split levels or foyers typically score average or above),GLQ,1369,Unfinished,0,317,1686,Gas forced warm air furnace,Excellent,Yes,SBrkr,1694,0,0square feet,1694,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2004.0,RFn,2,636square feet,Typical/Average,TA,Paved,255square feet,57square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Aug&2007,Warranty Deed - Conventional,Normal Sale,307000
7,2-STORY 1946 & NEWER,Residential Low-Density,0,10382sqare feet,Paved,Slightly irregular,Near Flat/Level,AllPub,Corner,Gentle slope,NWAmes,"Near positive off-site feature--park, greenbelt, etc&Normal",Single-family Detached,Two-story,7,6,1973,1973,Gable,Standard (Composite) Shingle,Hard Board,Stone ,240squarefeetsqare feet,Average/Typical&['ExterCond'],Cinder Block,Good (90-99 inches),Typical - slight dampness allowed&Mimimum Exposure,ALQ,859,Below Average Living Quarters,32,216,1107,Gas forced warm air furnace,Excellent,Yes,SBrkr,1107,983,0square feet,2090,2,1,3,1,Typical/Average,7,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1973.0,RFn,2,484square feet,Typical/Average,TA,Paved,235square feet,204square feet,228square feet,0square feet,0square feet,0square feet,No,No,Shed (over 100 SF),350,Nov&2009,Warranty Deed - Conventional,Normal Sale,200000
8,1-1/2 STORY FINISHED ALL AGES,RM,51,6120sqare feet,Paved,Regular,Near Flat/Level,AllPub,Inside,Gentle slope,OldTown,Adjacent to arterial stree&Normal,Single-family Detached,One and one-half story: 2nd level finished,7,5,1931,1950,Gable,Standard (Composite) Shingle,Brick Face&Wd Shng,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,Unf,0,Unfinished,0,952,952,Gas forced warm air furnace,Good,Yes,FuseF,1022,752,0square feet,1774,2,0,2,2,Typical/Average,8,Minor Deductions 1,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1931.0,Unf,2,468square feet,Fair,TA,Paved,90square feet,0square feet,205square feet,0square feet,0square feet,0square feet,No,No,No,0,Apr&2008,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",129900
9,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low-Density,50,7420sqare feet,Paved,Regular,Near Flat/Level,AllPub,Corner,Gentle slope,BrkSide,Adjacent to arterial stree,2fmCon,One and one-half story: 2nd level unfinished,5,6,1939,1950,Gable,Standard (Composite) Shingle,Metal Siding,,0squarefeetsqare feet,Average/Typical&['ExterCond'],Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed& No Exposure,GLQ,851,Unfinished,0,140,991,Gas forced warm air furnace,Excellent,Yes,SBrkr,1077,0,0square feet,1077,1,0,2,2,Typical/Average,5,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1939.0,RFn,1,205square feet,Good,TA,Paved,0square feet,4square feet,0square feet,0square feet,0square feet,0square feet,No,No,No,0,Jan&2008,Warranty Deed - Conventional,Normal Sale,118000
